station,lines
11,1+3+6+7+8
163,1
212,1
49,1+9
87,1+3+4+9
197,1+10
82,1
193,1+3+4+6
84,1+9
148,1
279,1+12+7+9
113,1
246,1
298,1
114,1
140,1
137,1
206,1
237,1
143,1
159,1
278,1
185,1
281,1
192,1+11+2
13,12+13+2+9
156,2+3+6+8
250,2
16,2
91,2
173,2
24,2
164,2+4+6
28,2+7
162,2
37,2
158,2
301,2
48,2
126,10+2
51,2
103,2
215,2
68,2
256,2
72,2+4
286,2
76,2
181,2
296,2
88,2
109,2
98,2
211,2
105,2
177,2
196,2
112,2
259,2+9
127,2
186,2+3+4
226,2
149,2
208,2
153,2
154,2
247,13+2+7
230,2
275,2
239,2
221,2
294,2
241,2
2,3+8
263,3+4
83,3+4+6
104,3+6+8
14,3+6+8
92,3+6+8
167,3+6+8+9
18,3+4
25,3+4
161,3+4
255,3+4
44,3+4
166,3+4
285,3+4+7
90,3+6+8
145,10+11+3+6+8+9
99,10+3+4
122,3+4
236,10+3+4
229,3+4
273,11+3+4
248,3+4
3,4+6
295,4+5+6
15,4+6
78,4+6
269,4
17,10+4
110,10+4+6
293,4
21,4
67,4
33,4+6
36,4+6
289,4+6+7
52,4
1,10+4
265,10+4
66,4
85,4
73,10+4
74,10+4
138,4
287,4
270,4+6
80,4
205,4
231,4
129,4
96,4
195,4
108,4
141,4
209,4
268,4
213,4
244,4+6
200,4+6
242,4
300,4
267,4
299,4
4,13
70,13
201,13
225,13+5
19,13
97,13
20,13
65,13
217,13
27,13
79,13
32,13
204,13
42,13+7
120,13
292,13
43,13+7
219,13
61,13
171,13
238,13
63,13
203,13
64,13
106,13
135,13
69,13
86,13
152,13
155,13
284,13
262,13
41,5+7
216,5
253,5
174,5
175,5
276,5
228,5
101,6
227,6
147,6
150,6
283,6
218,6
249,7
23,7
157,7+9
107,10+11+7
183,7
45,7
207,7
243,7
71,7
172,7
297,7
94,7+8
254,7
290,7
142,7
144,7
282,7+8
233,7
6,8
46,8
50,8
53,8
214,8
62,8
168,8
280,8
75,10+8
210,10+8
222,10+8
115,8
178,8
184,8
291,8
125,10+8
134,10+8
271,10+8
220,10+8
179,8
202,8
180,8
199,8
7,9
188,9
8,9
124,9
264,9
12,9
56,9
257,9
22,9
47,9
111,9
29,9
34,9
100,9
119,9
38,9
58,9
81,9
40,9
89,11+9
139,9
170,9
151,10+9
54,9
55,9
245,11+9
59,9
240,9
258,9
77,9
93,9
136,9
277,11+9
165,9
288,9
102,9
121,9
261,9
191,9
169,9
302,9
234,10
5,10
194,10
252,10
9,10
31,10
232,10
10,10
95,10+11
128,10
30,10
176,10
190,10
303,10
39,10
57,10
187,10
60,10
182,10
160,10
133,10
116,10
117,10
118,10
132,10
223,10
130,10
131,10
146,10
266,10
235,10
251,10
26,11
260,11
274,11
35,11
123,11
224,11
198,11
272,11
